	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
70148	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	364	117736	117846	110			0.50312	0.9948100000000001	2.67367										
70149	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	365	117866	117946	80			0.49485	0.94925	2.70256										
70150	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	636	117946	117966	20							121.53	139.75				0.49485	0.94925		
70151	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	637	118016	118036	20							106.65	106.65							
70152	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	638	118066	118096	30							268.85	305.81							
70153	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	639	118795	118815	20							168.88	168.88							
70154	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	366	118855	118995	140			0.45483	0.18791	2.38543										
70155	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	367	119135	119245	110			0.4594	0.32113	2.58776										
70156	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	368	119265	119375	110			0.46424	0.43825	2.54262										
70157	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	369	119455	119525	70			0.45016999999999996	0.47334	2.5239										
70158	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	640	119525	119545	20							229.83	229.83				0.45016999999999996	0.47334		
70159	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	641	119565	119585	20							401.92	401.92							
70160	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	642	119645	119665	20							180.21	180.21							
70161	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	370	119705	119845	140			0.4293	0.18342	2.43125										
70162	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	371	119865	119974	110			0.43854	0.1651	2.38453										
70163	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	372	120014	120184	170			0.44259	0.22558000000000003	2.52998										
70164	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	643	120304	120354	50							372.79	415.26							
70165	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	644	120364	120414	50							429.03	513.13							
70166	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	645	120474	120514	40							484.03	664.43							
70167	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	646	120584	120654	70							302.68	379.86							
70168	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	373	120754	121154	400			0.44085	0.29975	2.55373										
70169	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	647	121244	121274	30							503.16	503.16							
70170	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	648	121314	121354	40							269.15	354.63							
70171	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	649	121464	121494	30							280.25	280.25							
70172	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	650	121544	121564	20							153.2	153.2						0.43878999999999996	0.28752
70173	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	374	121564	122163	600			0.43878999999999996	0.28752	2.60439										
70174	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	375	122183	122273	90			0.43554	0.27576	2.57977										
70175	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	376	122313	122413	100			0.43505	0.25515	2.6238799999999998										
70176	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	377	122463	122933	470			0.43006000000000005	0.248	2.6475299999999997										
70177	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	378	122963	123103	140			0.42625	0.23973000000000003	2.73596										
70178	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Whole	651	123103	123113	10						259.31	110.49	110.49	1.31			0.42625	0.23973000000000003	0.42328000000000005	0.25547
70179	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	379	123113	123392	280			0.42328000000000005	0.25547	2.68708										
70180	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	380	123412	123522	110			0.42843000000000003	0.26135	2.60913										
70181	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	381	123562	123632	70			0.42887	0.26993	2.62498										
70182	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	382	123712	123882	170			0.42772	0.25706	2.6115										
70183	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	383	123962	124232	270			0.43275	0.25406	2.58026										
70184	Recording091	participant18_trial02	Entire Recording	1	fullstream	Fixation	Partial	384	124302	124502	200			0.44856999999999997	0.23584000000000002	2.63978										
70185	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	652	124552	124572	20							184.57	184.57							
70186	Recording091	participant18_trial02	Entire Recording	1	fullstream	Saccade	Partial	653	124592	124612	20							116.84	116.84							
