	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
29603	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	156	44279	44309	30						107.41	156.65	199.0	6.71			0.53438	0.72865	0.49199	0.59346
29604	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	166	44309	44469	160			0.49199	0.59346	2.82789										
29605	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	167	44539	44619	80			0.48451000000000005	0.55981	2.83486										
29606	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	168	44639	44899	260			0.47444	0.54652	2.7760599999999998										
29607	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	169	44919	45049	130			0.46466999999999997	0.54655	2.74535										
29608	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	170	45109	45438	330			0.43299	0.5467	2.72962										
29609	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	157	45438	45528	90							338.03	725.77				0.43299	0.5467		
29610	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	158	45588	45628	40							114.18	118.22						0.65864	0.7126100000000001
29611	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	171	45628	45698	70			0.65864	0.7126100000000001	2.70342										
29612	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	172	45738	45858	120			0.60729	0.69663	2.73684										
29613	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	159	45948	45988	40							154.46	185.4							
29614	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	173	46068	46178	110			0.48708	0.5741	2.56965										
29615	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	160	46178	46188	10						203.98	132.57	132.57	3.26			0.48708	0.5741	0.45288999999999996	0.58931
29616	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	174	46188	46848	660			0.45288999999999996	0.58931	2.4928										
29617	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	175	46908	47047	140			0.48401000000000005	0.59612	2.39225										
29618	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	176	47067	47247	180			0.48836	0.61165	2.40867										
29619	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	161	47247	47257	10						326.7	118.32	118.32	2.22			0.48836	0.61165	0.51203	0.6271899999999999
29620	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	177	47257	47367	110			0.51203	0.6271899999999999	2.42205										
29621	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	162	47387	47437	50							442.29	607.93							
29622	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	163	47467	47527	60							116.53	124.15							
29623	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	164	47537	47557	20							106.77	107.86						0.61524	0.42386999999999997
29624	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	178	47557	47637	80			0.61524	0.42386999999999997	2.56148										
29625	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	179	47657	48397	740			0.54927	0.47408	2.5154										
29626	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	165	48397	48407	10						260.84	103.48	103.48	7.4			0.54927	0.47408	0.52148	0.64632
29627	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	180	48407	49016	610			0.52148	0.64632	2.4573										
29628	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	166	49016	49036	20							590.37	590.37				0.52148	0.64632		
29629	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	167	49156	49236	80							276.06	520.41							
29630	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	168	49256	49266	10							106.01	106.01							
29631	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	169	49276	49296	20							116.43	127.68							
29632	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	170	49306	49316	10							113.24	113.24							
29633	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	171	49356	49366	10							104.51	104.51						0.35620999999999997	0.3899
29634	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	181	49366	49566	200			0.35620999999999997	0.3899	2.7217										
29635	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	182	49606	49686	80			0.39143	0.44265	2.63909										
29636	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	172	49686	49706	20						352.21	203.47	220.27	7.27			0.39143	0.44265	0.47165	0.45363000000000003
29637	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	183	49706	50086	380			0.47165	0.45363000000000003	2.6511										
29638	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	173	50086	50136	50						273.19	248.44	368.58	11.37			0.47165	0.45363000000000003	0.48535	0.69923
29639	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	184	50136	50445	310			0.48535	0.69923	2.65748										
