	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
20447	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	155	41570	41650	80			0.45716	0.71038	2.95										
20448	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	156	41710	41840	130			0.47026	0.70644	2.94677										
20449	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	157	41860	42100	240			0.43037	0.70234	2.94466										
20450	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	158	42160	42400	240			0.41463999999999995	0.69638	2.95224										
20451	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	159	42420	42600	180			0.42946999999999996	0.69839	2.9463										
20452	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Whole	152	42600	42610	10						308.01	142.12	142.12	4.26			0.42946999999999996	0.69839	0.4682	0.7479399999999999
20453	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	160	42610	42700	90			0.4682	0.7479399999999999	2.91815										
20454	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	161	42720	42889	170			0.49533	0.6997899999999999	2.95358										
20455	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	162	43069	43159	90			0.46075	0.6559999999999999	2.97149										
20456	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	153	43159	43239	80							305.93	473.33				0.46075	0.6559999999999999		
20457	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	154	43249	43279	30							288.92	353.04							
20458	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	155	43319	43339	20							304.02	304.02						0.61602	0.50247
20459	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Whole	163	43339	43429	90			0.61602	0.50247	3.02537										
20460	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Whole	156	43429	43439	10						237.79	100.03	100.03	4.59			0.61602	0.50247	0.5787800000000001	0.5615899999999999
20461	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	164	43439	43549	110			0.5787800000000001	0.5615899999999999	3.01468										
20462	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	157	43679	43699	20							109.15	110.82						0.57681	0.5545
20463	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	165	43699	43789	90			0.57681	0.5545	2.9575299999999998										
20464	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	166	43889	43969	80			0.56377	0.6301399999999999	2.87653										
20465	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	158	43969	44009	40							184.45	201.0				0.56377	0.6301399999999999		
20466	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	167	44029	44139	110			0.49567	0.52098	2.86922										
20467	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	168	44159	44399	240			0.48253	0.44671000000000005	2.8879799999999998										
20468	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	169	44439	44558	120			0.48396000000000006	0.37001	2.8978200000000003										
20469	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	159	44608	44628	20							115.43	115.43						0.4074	0.32559
20470	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	170	44628	44708	80			0.4074	0.32559	2.89457										
20471	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	171	44728	44818	90			0.40996000000000005	0.29686	2.8959										
20472	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	160	44878	44908	30							163.8	194.8							
20473	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	172	44988	45078	90			0.46638999999999997	0.36666	2.87354										
20474	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	173	45138	45358	220			0.46612	0.34151	2.9045799999999997										
20475	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	161	45358	45398	40							274.68	365.43				0.46612	0.34151		
20476	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	162	45518	45548	30							110.99	118.74							
20477	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	174	45618	45688	70			0.64699	0.20362	3.00473										
20478	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	163	45808	45838	30							125.82	145.24							
20479	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	164	45888	45928	40							360.89	565.6							
20480	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	165	46078	46098	20							181.09	181.09							
20481	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	166	46138	46187	50							400.75	592.88							
20482	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	167	46197	46237	40							148.6	190.74							
20483	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	168	46257	46267	10							101.78	101.78						0.32494	0.25209000000000004
20484	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	175	46267	46387	120			0.32494	0.25209000000000004	2.8688										
20485	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	169	46437	46467	30							182.45	227.4						0.25681	0.2396
