	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
24284	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	167	48806	48826	20							138.18	138.18				0.60906	0.49332		
24285	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	168	48896	48936	40							253.99	399.33							
24286	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	169	48976	48996	20							209.6	209.6						0.56162	0.58015
24287	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Whole	192	48996	49116	120			0.56162	0.58015	2.87518										
24288	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	170	49116	49156	40						155.72	273.26	383.76	10.1			0.56162	0.58015	0.45432	0.53174
24289	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	193	49156	49226	70			0.45432	0.53174	2.8725400000000003										
24290	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	194	49246	49376	130			0.4897	0.5405399999999999	2.86891										
24291	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	171	49396	49426	30							314.41	314.41							
24292	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	195	49446	49626	180			0.65468	0.6541899999999999	2.85357										
24293	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	196	49666	49745	80			0.6645399999999999	0.61433	2.87353										
24294	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	172	49745	49845	100							317.31	462.95				0.6645399999999999	0.61433		
24295	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	197	49925	50045	120			0.33399999999999996	0.58399	2.807										
24296	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	198	50095	50205	110			0.35056	0.53737	2.77303										
24297	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	199	50245	50385	140			0.36925	0.53288	2.71433										
24298	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	173	50385	50395	10						20.38	111.25	111.25	3.94			0.36925	0.53288	0.41297	0.51664
24299	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	200	50395	50585	190			0.41297	0.51664	2.66795										
24300	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	201	50625	50755	130			0.37262	0.54042	2.6309299999999998										
24301	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	174	50795	50895	100							311.95	430.68						0.67569	0.49838000000000005
24302	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	202	50895	51045	150			0.67569	0.49838000000000005	2.77523										
24303	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	203	51065	51325	260			0.6270399999999999	0.57718	2.71088										
24304	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	204	51365	51584	220			0.58108	0.64023	2.6718599999999997										
24305	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	205	51624	51734	110			0.57218	0.6501399999999999	2.65466										
24306	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	206	51774	52004	230			0.57209	0.66174	2.65315										
24307	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	207	52044	52184	140			0.56029	0.69739	2.7061599999999997										
24308	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	175	52184	52264	80						159.22	295.98	467.09	18.75			0.56029	0.69739	0.3504	0.61774
24309	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	208	52264	52534	270			0.3504	0.61774	2.66077										
24310	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	209	52614	52724	110			0.40205	0.49673	2.75447										
24311	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	210	52744	52844	100			0.36138000000000003	0.5213	2.7367										
24312	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	176	52914	52944	30							168.34	210.89							
24313	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	211	52994	53103	110			0.40922	0.65755	2.7152700000000003										
24314	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	212	53123	53243	120			0.42746999999999996	0.64449	2.7600599999999997										
24315	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	213	53293	53473	180			0.43299	0.66842	2.8342099999999997										
24316	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	214	53673	53773	100			0.42116000000000003	0.5867600000000001	2.93778										
24317	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	177	53813	53833	20							170.76	170.76						0.47753	0.5606300000000001
24318	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Whole	215	53833	53903	70			0.47753	0.5606300000000001	2.9392099999999997										
24319	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	178	53903	53923	20							168.54	168.54				0.47753	0.5606300000000001		
24320	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	216	53963	54093	130			0.40534000000000003	0.6098600000000001	2.94413										
24321	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	217	54113	54323	210			0.4523	0.6256	2.9262900000000003										
24322	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Whole	179	54323	54333	10						9.08	129.1	129.1	4.5			0.4523	0.6256	0.50258	0.61756
24323	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	218	54333	54503	170			0.50258	0.61756	3.01388										
24324	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	219	54523	54623	100			0.4859	0.62705	3.06067										
24325	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	180	54713	54742	30							164.32	197.82						0.41218999999999995	0.60728
24326	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	220	54742	54862	120			0.41218999999999995	0.60728	3.0114099999999997										
24327	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	181	54882	54912	30							102.92	102.92							
24328	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	221	54932	55152	220			0.41634	0.58537	2.95014										
24329	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	222	55192	55442	250			0.41641000000000006	0.55389	2.92104										
24330	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	223	55462	55592	130			0.41563999999999995	0.58331	2.9582										
24331	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	224	55612	55792	180			0.40956	0.63127	2.9597700000000002										
24332	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	225	55882	56122	240			0.4126	0.70654	2.93732										
24333	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	226	56142	56242	100			0.40209	0.70018	3.0058700000000003										
24334	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	182	56342	56382	40							317.02	374.75							
24335	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	183	56561	56581	20							128.74	128.74						0.6048899999999999	0.54838
24336	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	227	56581	56741	160			0.6048899999999999	0.54838	3.0380700000000003										
24337	Recording035	participant17_trial03	Entire Recording	1	fullstream	Fixation	Partial	228	56841	57021	180			0.55283	0.5523899999999999	2.82085										
24338	Recording035	participant17_trial03	Entire Recording	1	fullstream	Saccade	Partial	184	57021	57041	20							169.33	182.89				0.55283	0.5523899999999999		
