	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
21585	Recording033	participant17_trial01	Entire Recording	1		Fixation	Partial	1	0	155	155			0.60953	0.24086	3.888										
21586	Recording033	participant17_trial01	Entire Recording	1		Saccade	Partial	1	155	175	20							215.04	329.66				0.60953	0.24086		
21587	Recording033	participant17_trial01	Entire Recording	1		Saccade	Partial	2	305	315	10							129.64	129.64						0.4304	0.33612
21588	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	2	315	545	230			0.4304	0.33612	3.9368199999999995										
21589	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	3	565	755	190			0.42323	0.34836	3.68606										
21590	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Whole	3	755	785	30						260.3	167.76	198.31	6.74			0.42323	0.34836	0.3985	0.493
21591	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	4	785	1094	310			0.3985	0.493	3.28438										
21592	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	5	1144	1414	270			0.39353	0.47167	3.29724										
21593	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	6	1434	1634	200			0.42402	0.42658999999999997	3.2828199999999996										
21594	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	4	1634	1694	60							208.82	229.24				0.42402	0.42658999999999997		
21595	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	5	2144	2164	20							164.05	164.05							
21596	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	6	2174	2194	20							148.58	148.58							
21597	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	7	2264	2294	30							164.59	177.03							
21598	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	8	2314	2334	20							133.75	148.89							
21599	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	9	2374	2414	40							170.5	227.74						0.3104	0.76481
21600	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Whole	7	2414	2484	70			0.3104	0.76481	3.0296										
21601	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	10	2484	2514	30							191.54	222.47				0.3104	0.76481		
21602	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	8	2554	2703	150			0.37542	0.7267399999999999	2.80815										
21603	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Whole	11	2703	2713	10						307.72	102.59	102.59	2.09			0.37542	0.7267399999999999	0.39771	0.75555
21604	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	9	2713	2813	100			0.39771	0.75555	2.67484										
21605	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	10	2833	3113	280			0.41418	0.6905899999999999	2.6086400000000003										
21606	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	12	3153	3193	40							200.9	252.92							
21607	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	11	3213	3483	270			0.43506000000000006	0.51268	2.7100400000000002										
21608	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	13	3593	3603	10							108.15	108.15						0.4242	0.59463
21609	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	12	3603	3763	160			0.4242	0.59463	2.71095										
21610	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	13	3783	3883	100			0.46815	0.5321899999999999	2.78747										
21611	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	14	3903	4183	280			0.46393	0.51063	2.78005										
21612	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	15	4203	4302	100			0.45783999999999997	0.48957	2.7945900000000004										
21613	Recording033	participant17_trial01	Entire Recording	1	fullstream	Saccade	Partial	14	4302	4322	20							100.44	100.44				0.45783999999999997	0.48957		
21614	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	16	4362	4462	100			0.38854	0.5016	2.8163400000000003										
21615	Recording033	participant17_trial01	Entire Recording	1	fullstream	Fixation	Partial	17	4482	4592	110			0.39997	0.48546999999999996	2.80815										
