	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
60743	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	21	6941	6971	30							272.54	291.33							
60744	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	22	7001	7011	10							102.5	102.5						0.47273999999999994	0.68633
60745	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	27	7011	7091	80			0.47273999999999994	0.68633	3.02691										
60746	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	28	7111	7471	360			0.4722	0.6411100000000001	3.0258599999999998										
60747	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	29	7511	7621	110			0.47941000000000006	0.63802	3.06633										
60748	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	30	7640	7760	120			0.4856	0.6496	3.0747400000000003										
60749	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	31	7890	8020	130			0.50669	0.63548	3.07748										
60750	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	23	8110	8170	60							416.91	687.16							
60751	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	24	8210	8230	20							115.51	115.51						0.72912	0.55945
60752	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	32	8230	8320	90			0.72912	0.55945	3.4209699999999996										
60753	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	33	8340	8440	100			0.69105	0.6005699999999999	3.30128										
60754	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	25	8440	8450	10							102.94	102.94				0.69105	0.6005699999999999		
60755	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	34	8490	8630	140			0.64655	0.5668300000000001	3.1861900000000003										
60756	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	26	8630	8680	50						35.82	279.6	398.12	9.14			0.64655	0.5668300000000001	0.75168	0.49096000000000006
60757	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	35	8680	8920	240			0.75168	0.49096000000000006	3.3302099999999997										
60758	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	27	8920	8940	20							148.29	151.07				0.75168	0.49096000000000006		
60759	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	36	9030	9120	90			0.69471	0.47223000000000004	3.29377										
60760	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	28	9120	9130	10						329.56	107.42	107.42	2.61			0.69471	0.47223000000000004	0.72756	0.49153
60761	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	37	9130	9210	80			0.72756	0.49153	3.4013										
60762	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	29	9210	9230	20							150.13	192.32				0.72756	0.49153		
60763	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	38	9290	9539	250			0.7245699999999999	0.57935	3.31075										
60764	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	30	9579	9599	20							106.78	106.78						0.66351	0.5847
60765	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	39	9599	9689	90			0.66351	0.5847	3.25743										
60766	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	31	9709	9729	20							136.47	136.47							
60767	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	32	9739	9749	10							143.78	143.78						0.64525	0.58149
60768	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	40	9749	9899	150			0.64525	0.58149	3.23218										
60769	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	33	9899	9909	10							157.63	157.63				0.64525	0.58149		
60770	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	34	9989	10009	20							162.63	162.63						0.6645800000000001	0.57595
60771	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	41	10009	10119	110			0.6645800000000001	0.57595	3.22818										
60772	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	42	10139	10239	100			0.69028	0.5843	3.2241400000000002										
60773	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	35	10389	10419	30							1198.81	1198.81							
60774	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	36	10429	10459	30							589.41	589.41							
60775	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	37	10709	10759	50							294.65	311.44							
60776	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	38	10889	10919	30							188.18	188.18							
60777	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	39	10959	10979	20							242.43	242.43						0.22560999999999998	0.7356699999999999
60778	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	43	10979	11088	110			0.22560999999999998	0.7356699999999999	3.15591										
60779	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	40	11128	11158	30							150.73	173.27							
60780	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	41	11218	11238	20							100.63	100.63							
60781	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	44	11258	11368	110			0.25598000000000004	0.7645	3.22266										
60782	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	42	11438	11458	20							143.8	157.49						0.30412	0.59973
60783	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	45	11458	11638	180			0.30412	0.59973	3.26812										
60784	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	43	11708	11738	30							171.81	201.25							
60785	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Partial	44	11778	11798	20							125.84	132.67						0.50246	0.60434
60786	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	46	11798	11938	140			0.50246	0.60434	3.12087										
60787	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Partial	47	11958	12687	730			0.45337	0.59726	3.14554										
60788	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	45	12687	12717	30						234.68	157.87	194.63	7.44			0.45337	0.59726	0.38381	0.69544
60789	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	48	12717	13027	310			0.38381	0.69544	3.23623										
60790	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	46	13027	13057	30						134.42	192.62	219.12	7.23			0.38381	0.69544	0.31078	0.62092
60791	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	49	13057	13217	160			0.31078	0.62092	3.49189										
60792	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	47	13217	13267	50						62.76	236.22	305.07	13.75			0.31078	0.62092	0.41838000000000003	0.41195
60793	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	50	13267	13467	200			0.41838000000000003	0.41195	3.4330000000000003										
60794	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	48	13467	13497	30						279.21	188.12	223.68	6.89			0.41838000000000003	0.41195	0.4365	0.52366
60795	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	51	13497	14167	670			0.4365	0.52366	3.28712										
60796	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	49	14167	14197	30						274.28	153.7	202.48	4.82			0.4365	0.52366	0.44461000000000006	0.63202
60797	Recording080	participant14_trial03	Entire Recording	1	fullstream	Fixation	Whole	52	14197	14536	340			0.44461000000000006	0.63202	3.0462599999999997										
60798	Recording080	participant14_trial03	Entire Recording	1	fullstream	Saccade	Whole	50	14536	14546	10						122.12	111.37	111.37	2.23			0.44461000000000006	0.63202	0.42541	0.60143
